,EmployeeID,Attrition,Age,HomeToWork,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MonthlyIncome,TravelProfile_Rarely,TravelProfile_Yes,Department_Analytics,Department_Marketing,Department_Sales,EducationField_CA,EducationField_Engineer,EducationField_MBA,EducationField_Marketing Diploma,EducationField_Statistics,Gender_F,Gender_M,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single
0,5110001,0.0,35.0,5.0,69.0,1,1,1,1,1,1,20.0,7.0,2.0,2.5,18932.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,5110002,1.0,32.0,5.0,62.0,4,3,2,0,8,0,20.0,4.0,1.0,2.5,18785.0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
2,5110003,0.0,31.0,5.0,45.0,5,3,2,1,3,0,26.0,12.0,1.0,3.0,22091.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3,5110004,0.0,34.0,10.0,32.0,3,2,4,1,1,0,23.0,5.0,1.0,3.0,20302.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4,5110005,0.0,37.0,27.0,49.0,3,4,4,1,8,0,21.0,12.0,1.0,9.0,21674.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5,5110006,1.0,34.0,24.0,43.0,3,4,5,1,9,1,20.0,11.0,0.0,2.0,24950.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
6,5110007,0.0,35.0,1.0,62.0,3,1,3,1,1,0,19.0,10.0,0.0,8.0,23789.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
7,5110008,1.0,26.0,8.0,48.0,4,2,3,1,2,1,17.0,7.0,1.0,4.0,21744.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
8,5110009,0.0,45.0,5.0,58.0,3,3,3,0,6,1,24.0,17.0,3.0,3.0,26209.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
9,5110010,1.0,24.0,4.0,65.0,3,3,3,1,9,0,19.0,4.0,2.0,0.0,19577.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
10,5110011,0.0,41.0,11.0,57.0,4,5,4,1,3,0,17.0,17.0,5.0,9.0,29757.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
11,5110012,0.0,37.0,1.0,59.0,3,4,2,0,4,0,22.0,12.0,1.0,2.0,22491.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
12,5110013,0.0,28.0,11.0,59.0,3,1,3,0,3,0,18.0,10.0,1.0,7.0,18660.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
13,5110014,0.0,34.0,9.0,42.0,3,3,2,1,1,0,17.0,10.0,8.0,8.0,17691.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
14,5110015,1.0,31.0,21.0,71.0,5,3,3,0,3,1,16.0,4.0,2.0,2.0,19559.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
15,5110016,0.0,46.0,6.0,80.0,3,2,4,1,8,1,27.0,16.0,0.0,2.0,20021.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
16,5110017,1.0,33.0,30.0,54.0,4,2,3,0,1,0,27.0,14.0,3.0,8.0,19508.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
17,5110018,0.0,32.0,4.0,63.0,3,4,5,0,1,0,17.0,8.0,6.0,3.0,21725.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
18,5110019,0.0,33.0,9.0,60.0,3,4,2,0,0,0,18.0,15.0,4.0,10.0,17781.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
19,5110020,1.0,36.0,21.0,69.0,3,5,4,1,0,1,16.0,6.0,1.0,4.0,17148.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
20,5110021,1.0,36.0,23.0,48.0,3,3,3,1,4,1,16.0,7.0,0.0,1.0,17132.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
21,5110022,0.0,47.0,3.0,65.0,3,2,1,0,5,0,18.0,20.0,0.0,4.0,20070.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
22,5110023,0.0,36.0,5.0,61.0,5,3,1,0,2,1,17.0,2.0,1.0,1.0,17129.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
23,5110024,0.0,33.0,3.0,68.0,3,3,4,0,2,0,23.0,11.0,1.0,10.0,22220.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
24,5110025,0.0,41.0,7.0,35.0,3,1,3,1,1,0,17.0,10.0,8.0,7.0,24241.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
25,5110026,0.0,47.0,15.0,78.0,3,2,3,0,3,1,22.0,11.0,1.0,2.0,19591.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
26,5110027,0.0,34.0,17.0,74.0,3,3,4,1,2,0,19.0,9.0,2.0,2.5,18756.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
27,5110028,0.0,51.0,7.0,40.0,4,2,3,1,0,0,19.0,8.0,7.0,7.0,17838.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
