EmployeeID,Attrition,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome
5110001.0,0.0,35.0,Rarely,Analytics,5.0,CA,Male,69.0,1.0,1.0,Executive,1.0,1.0,1.0,1.0,20.0,7.0,2.0,,M,18932.0
5110002.0,1.0,32.0,Yes,Sales,5.0,Statistics,Female,62.0,4.0,3.0,Executive,2.0,0.0,8.0,0.0,20.0,4.0,1.0,,Single,18785.0
5110003.0,0.0,31.0,Rarely,Analytics,5.0,Statistics,F,45.0,5.0,3.0,Manager,2.0,1.0,3.0,0.0,26.0,12.0,1.0,3.0,Single,22091.0
5110004.0,0.0,34.0,Yes,Sales,10.0,Statistics,Female,32.0,3.0,2.0,Manager,4.0,1.0,1.0,0.0,23.0,5.0,1.0,3.0,Divorsed,20302.0
5110005.0,0.0,37.0,No,Analytics,27.0,Statistics,Female,49.0,3.0,4.0,Manager,4.0,1.0,8.0,0.0,21.0,12.0,1.0,9.0,Divorsed,21674.0
5110006.0,1.0,34.0,Yes,Marketing,24.0,MBA,F,43.0,3.0,4.0,Senior Manager,5.0,1.0,9.0,1.0,20.0,11.0,0.0,2.0,Married,24950.0
5110007.0,0.0,35.0,Yes,Sales,1.0,Marketing Diploma,F,62.0,3.0,1.0,Senior Manager,3.0,1.0,1.0,0.0,19.0,10.0,0.0,8.0,Single,23789.0
5110008.0,1.0,26.0,Rarely,Sales,8.0,Marketing Diploma,Male,48.0,4.0,2.0,Manager,3.0,1.0,2.0,1.0,17.0,7.0,1.0,4.0,Single,21744.0
5110009.0,0.0,45.0,Yes,Analytics,5.0,CA,Male,58.0,3.0,3.0,Senior Manager,3.0,0.0,6.0,1.0,24.0,17.0,3.0,3.0,Single,26209.0
5110010.0,1.0,24.0,Rarely,Sales,4.0,Statistics,Female,65.0,3.0,3.0,Manager,3.0,1.0,9.0,0.0,19.0,4.0,2.0,0.0,Single,19577.0
5110011.0,0.0,41.0,No,Analytics,11.0,CA,Male,57.0,4.0,5.0,Senior Manager,4.0,1.0,3.0,0.0,17.0,17.0,5.0,9.0,Married,29757.0
5110012.0,0.0,37.0,Rarely,Analytics,1.0,Engineer,F,59.0,3.0,4.0,Senior Manager,2.0,0.0,4.0,0.0,22.0,12.0,1.0,2.0,Single,22491.0
5110013.0,0.0,28.0,Rarely,Analytics,11.0,Other,Female,59.0,3.0,1.0,Manager,3.0,0.0,3.0,0.0,18.0,10.0,1.0,7.0,Single,18660.0
5110014.0,0.0,34.0,Rarely,Analytics,,Statistics,Male,42.0,3.0,3.0,Executive,2.0,1.0,1.0,0.0,17.0,10.0,8.0,8.0,Divorsed,17691.0
5110015.0,1.0,31.0,Rarely,Sales,21.0,Statistics,Female,71.0,5.0,3.0,Manager,3.0,0.0,3.0,1.0,16.0,4.0,2.0,2.0,Divorsed,19559.0
5110016.0,0.0,46.0,Rarely,Marketing,6.0,CA,Male,80.0,3.0,2.0,Manager,4.0,1.0,8.0,1.0,27.0,16.0,0.0,2.0,Married,20021.0
5110017.0,1.0,33.0,Yes,Analytics,30.0,CA,Female,54.0,4.0,2.0,Manager,3.0,0.0,1.0,0.0,27.0,14.0,3.0,8.0,Single,19508.0
5110018.0,0.0,32.0,Rarely,Analytics,4.0,CA,Female,63.0,3.0,4.0,Manager,5.0,0.0,1.0,0.0,17.0,8.0,6.0,3.0,Divorsed,21725.0
5110019.0,0.0,33.0,Rarely,Analytics,,CA,Male,60.0,3.0,4.0,Executive,2.0,0.0,0.0,0.0,18.0,15.0,4.0,10.0,Divorsed,17781.0
5110020.0,1.0,,Rarely,Marketing,21.0,CA,Female,69.0,3.0,5.0,Executive,4.0,1.0,0.0,1.0,16.0,6.0,1.0,4.0,M,17148.0
5110021.0,1.0,,Rarely,Analytics,23.0,Statistics,Female,48.0,3.0,3.0,Executive,3.0,1.0,4.0,1.0,16.0,7.0,0.0,1.0,Divorsed,17132.0
5110022.0,0.0,47.0,Rarely,Analytics,3.0,CA,Female,65.0,3.0,2.0,Manager,1.0,0.0,5.0,0.0,18.0,20.0,0.0,4.0,Married,20070.0
5110023.0,0.0,,Rarely,Analytics,5.0,CA,Female,61.0,5.0,3.0,Executive,1.0,0.0,2.0,1.0,17.0,2.0,1.0,1.0,M,17129.0
5110024.0,0.0,33.0,Rarely,Analytics,3.0,Statistics,Male,68.0,3.0,3.0,Manager,4.0,0.0,2.0,0.0,23.0,11.0,1.0,10.0,Married,22220.0
5110025.0,0.0,41.0,Rarely,Sales,7.0,Marketing Diploma,Male,35.0,3.0,1.0,Senior Manager,3.0,1.0,1.0,0.0,17.0,10.0,8.0,7.0,Single,24241.0
5110026.0,0.0,47.0,Rarely,Sales,15.0,CA,Female,78.0,3.0,2.0,Manager,3.0,0.0,3.0,1.0,22.0,11.0,1.0,2.0,Divorsed,19591.0
5110027.0,0.0,34.0,Rarely,Analytics,17.0,CA,Female,74.0,3.0,3.0,Executive,4.0,1.0,2.0,0.0,19.0,9.0,2.0,,Divorsed,18756.0
5110028.0,0.0,51.0,Yes,Analytics,7.0,CA,Female,40.0,4.0,2.0,Executive,3.0,1.0,0.0,0.0,19.0,8.0,7.0,7.0,Single,17838.0
5110029.0,0.0,52.0,No,Analytics,20.0,CA,Male,41.0,3.0,5.0,Executive,2.0,1.0,0.0,0.0,23.0,5.0,1.0,2.0,Divorsed,19258.0
5110030.0,0.0,52.0,No,Sales,30.0,Statistics,Male,40.0,3.0,5.0,Executive,1.0,0.0,2.0,0.0,20.0,16.0,0.0,0.0,M,18482.0
5110031.0,0.0,39.0,Rarely,Sales,13.0,Marketing Diploma,Male,75.0,4.0,1.0,Senior Manager,3.0,0.0,1.0,1.0,20.0,10.0,3.0,8.0,Married,24740.0
5110032.0,0.0,36.0,Rarely,Analytics,15.0,Statistics,Male,68.0,3.0,5.0,Manager,1.0,1.0,0.0,1.0,22.0,17.0,4.0,11.0,Married,21586.0
5110033.0,0.0,53.0,Rarely,Sales,1.0,CA,F,34.0,3.0,3.0,Manager,5.0,1.0,7.0,0.0,,18.0,8.0,10.0,Single,23381.0
5110034.0,0.0,,Rarely,Sales,7.0,Marketing Diploma,Male,,3.0,4.0,Manager,3.0,0.0,2.0,1.0,25.0,13.0,4.0,5.0,Divorsed,17306.0
5110035.0,0.0,43.0,Rarely,Analytics,,CA,Female,72.0,1.0,5.0,Executive,3.0,1.0,1.0,0.0,17.0,6.0,1.0,4.0,M,17645.0
5110036.0,0.0,45.0,Rarely,Marketing,3.0,Statistics,F,52.0,4.0,4.0,Manager,3.0,0.0,5.0,0.0,17.0,11.0,1.0,3.0,Single,21985.0
5110037.0,0.0,36.0,Rarely,Analytics,1.0,Engineer,F,77.0,5.0,4.0,Senior Manager,5.0,1.0,2.0,1.0,26.0,17.0,7.0,7.0,Married,25252.0
5110038.0,0.0,51.0,Rarely,Analytics,5.0,CA,Male,66.0,3.0,5.0,AVP,3.0,0.0,6.0,0.0,22.0,31.0,1.0,4.0,Married,33639.0
5110039.0,1.0,20.0,Rarely,Sales,24.0,Other,Male,39.0,4.0,1.0,Executive,4.0,0.0,2.0,1.0,19.0,2.0,1.0,1.0,Single,18121.0
5110040.0,1.0,35.0,Yes,Sales,19.0,Marketing Diploma,Female,67.0,3.0,3.0,Manager,3.0,1.0,0.0,1.0,23.0,5.0,3.0,2.0,Divorsed,19614.0
5110041.0,0.0,34.0,Yes,Analytics,3.0,Statistics,F,70.0,3.0,4.0,Senior Manager,1.0,0.0,2.0,1.0,18.0,16.0,9.0,13.0,Single,29458.0
5110042.0,1.0,25.0,Rarely,Analytics,20.0,Statistics,Female,69.0,3.0,2.0,Executive,4.0,1.0,2.0,0.0,19.0,2.0,1.0,1.0,M,18210.0
5110043.0,1.0,43.0,Yes,Analytics,22.0,CA,Male,59.0,1.0,2.0,Executive,3.0,0.0,7.0,1.0,18.0,8.0,3.0,,M,18759.0
5110044.0,0.0,35.0,Yes,Analytics,3.0,CA,Female,37.0,3.0,5.0,Manager,4.0,0.0,5.0,0.0,16.0,10.0,1.0,2.0,Single,19425.0
5110045.0,0.0,50.0,Rarely,Analytics,11.0,Engineer,Male,80.0,4.0,5.0,Senior Manager,2.0,0.0,6.0,0.0,20.0,20.0,1.0,3.0,Single,25496.0
5110046.0,0.0,38.0,Rarely,Analytics,24.0,Statistics,Male,52.0,3.0,3.0,Manager,2.0,0.0,9.0,0.0,19.0,10.0,,2.0,Married,20745.0
5110047.0,1.0,34.0,Yes,Analytics,8.0,Statistics,Male,66.0,5.0,4.0,Manager,3.0,1.0,1.0,1.0,29.0,,0.0,6.0,Single,21074.0
5110048.0,0.0,,Rarely,Analytics,5.0,Statistics,Female,,3.0,1.0,Executive,3.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,Single,17318.0
5110049.0,0.0,57.0,Rarely,Analytics,25.0,Statistics,Male,53.0,2.0,4.0,Senior Manager,2.0,1.0,3.0,1.0,21.0,12.0,1.0,4.0,Married,24439.0
5110050.0,0.0,30.0,Rarely,Sales,13.0,Statistics,Male,61.0,3.0,4.0,Executive,3.0,0.0,2.0,0.0,17.0,2.0,1.0,1.0,Single,18642.0
5110051.0,1.0,,Rarely,Analytics,11.0,Statistics,Female,,4.0,4.0,Executive,4.0,0.0,2.0,0.0,18.0,2.0,1.0,1.0,Single,17261.0
5110052.0,0.0,40.0,Yes,Analytics,1.0,Statistics,Male,78.0,4.0,1.0,AVP,4.0,0.0,1.0,0.0,27.0,22.0,11.0,11.0,Divorsed,28503.0
5110053.0,0.0,31.0,Yes,Sales,,Statistics,Male,67.0,1.0,3.0,Executive,2.0,1.0,0.0,0.0,17.0,3.0,2.0,2.0,Divorsed,17791.0
5110054.0,0.0,43.0,Yes,Sales,27.0,Statistics,Male,62.0,3.0,3.0,AVP,2.0,1.0,1.0,1.0,17.0,25.0,4.0,12.0,Divorsed,31959.0
5110055.0,0.0,39.0,Rarely,Analytics,18.0,Statistics,Male,64.0,4.0,5.0,Senior Manager,2.0,1.0,1.0,1.0,20.0,13.0,3.0,10.0,Married,27510.0
5110056.0,1.0,32.0,Rarely,Analytics,10.0,CA,Female,41.0,3.0,3.0,Executive,5.0,1.0,7.0,0.0,27.0,10.0,0.0,4.0,Single,19200.0
5110057.0,0.0,34.0,Rarely,Sales,9.0,Engineer,Male,62.0,1.0,1.0,Manager,3.0,1.0,1.0,0.0,26.0,10.0,4.0,8.0,Married,21799.0
5110058.0,1.0,32.0,Rarely,Sales,3.0,Marketing Diploma,Male,52.0,4.0,4.0,Manager,4.0,0.0,7.0,1.0,17.0,7.0,2.0,2.0,Single,24907.0
5110059.0,0.0,,Rarely,Analytics,22.0,CA,Male,79.0,1.0,3.0,Executive,4.0,0.0,1.0,0.0,23.0,14.0,2.0,13.0,M,17028.0
5110060.0,0.0,34.0,Rarely,Analytics,9.0,CA,Male,52.0,1.0,1.0,Manager,3.0,0.0,2.0,0.0,17.0,6.0,1.0,2.0,Married,19404.0
5110061.0,0.0,,Rarely,Sales,3.0,Engineer,Male,,3.0,1.0,Executive,5.0,0.0,3.0,0.0,18.0,3.0,0.0,0.0,M,17322.0
5110062.0,1.0,29.0,Rarely,Sales,24.0,Statistics,F,45.0,4.0,5.0,Senior Manager,5.0,0.0,1.0,0.0,18.0,11.0,3.0,10.0,Divorsed,22336.0
5110063.0,0.0,42.0,No,Sales,13.0,CA,Male,42.0,5.0,5.0,Manager,4.0,0.0,2.0,0.0,19.0,20.0,12.0,10.0,Single,22151.0
5110064.0,0.0,44.0,Rarely,Sales,29.0,CA,F,53.0,1.0,1.0,AVP,1.0,1.0,3.0,1.0,23.0,23.0,11.0,11.0,Married,28320.0
5110065.0,1.0,32.0,Rarely,Analytics,1.0,Statistics,Male,62.0,4.0,3.0,Executive,3.0,1.0,0.0,1.0,19.0,4.0,1.0,,Single,18730.0
5110066.0,0.0,26.0,Rarely,Sales,1.0,Statistics,Male,57.0,3.0,5.0,Manager,3.0,1.0,1.0,0.0,22.0,8.0,7.0,7.0,Married,20296.0
5110067.0,0.0,26.0,Rarely,Analytics,22.0,CA,Male,69.0,3.0,3.0,Executive,1.0,1.0,4.0,0.0,17.0,8.0,2.0,3.0,Married,19669.0
5110068.0,0.0,34.0,Rarely,Analytics,3.0,Statistics,F,44.0,4.0,4.0,Manager,1.0,0.0,1.0,0.0,,7.0,2.0,5.0,Single,22949.0
